date,Lancaster,Santa Clarita,Reseda,Glendora,LA Main,Long Beach,Long Beach 710
2020-12-10-05,24.901403773198066,22.278249481797033,25.754753097739883,26.29248845355093,25.99823103273637,25.92531625481573,25.956397977437152
2020-12-10-06,12.47851067375606,10.98394801940519,9.972204165225795,8.392863110658627,9.257103894310546,9.471256266867542,9.379968535733248
2020-12-10-07,21.39670569038041,13.195038608298693,18.75604551911217,17.0920419323801,18.002611413011405,18.22824368858072,18.132062365621483
2020-12-10-08,10.667840012233327,6.173129551664606,9.099566349000938,8.111323700821481,8.65210594556274,8.786107722542848,8.7289861597863
2020-12-10-09,20.53882102903537,15.684843990043133,19.07965882523867,18.160172415302227,18.663330142496587,18.7880088467273,18.73486147369525
2020-12-10-10,17.02667665380684,10.96297988911838,14.681594540562148,13.20384852459287,14.012494871869517,14.212871360811736,14.127455939867364
2020-12-10-11,7.130372331560984,11.287616924094543,7.756948958693551,8.151784222335342,7.9357240264223625,7.882185933283116,7.905007866066689
2020-12-10-12,3.595796802588819,2.4271483930640962,3.476914167681276,3.402000654371722,3.4429945316989405,3.453152506485595,3.448822419173832
2020-12-10-13,9.107467838629312,8.836925903884167,7.962611779177216,7.2411843838811025,7.635961038141855,7.73378372684073,7.692084392865804
2020-12-10-14,7.285218868553143,8.995834503013397,5.898526216172687,5.024706262979742,5.502874571803399,5.62136108592444,5.570853286664627
2020-12-10-15,18.645630073502524,15.84990178372373,18.541404201802763,18.475726601093015,18.511666438749753,18.520572060480525,18.51677581954966
2020-12-10-16,9.688794180964523,11.58524153141185,10.185495600783712,10.498490416666094,10.327214627833191,10.284773774272516,10.302865234958649
2020-12-10-17,19.73862745187823,19.475829491414874,20.2499856349052,20.572216363387387,20.395886534884006,20.352193328267443,20.37081863533448
2020-12-10-18,8.778518795939078,13.686332598790205,8.713377626126725,8.672329125683135,8.694791524218598,8.700357537800327,8.697984887218539
2020-12-10-19,14.745358433654648,14.39819135462402,13.199884179856584,12.226008506832384,12.75892891208623,12.890982584312734,12.834691449259813
2020-12-10-20,3.7254127616242236,4.546551747518605,2.468188184245819,1.6759521256845107,2.1094764174189358,2.2169004795462914,2.171108323317782
2020-12-10-21,10.700938556193048,11.595389189318666,12.083559885460234,12.954814307375454,12.478049898460261,12.359911260188085,12.410270768786534
2020-12-10-22,16.780781776022227,20.384589341129107,19.069234329338258,20.51129540869144,19.722176431704113,19.526638678397106,19.609991468923596
2020-12-10-23,2.0487011375635196,5.247278679885982,2.651256958327781,3.030955587430999,2.8231784009779712,2.7716927753469855,2.7936397932285244
2020-12-11-00,13.470771195278871,7.663345359941479,10.668072364102404,8.901960632516895,9.868405329505165,10.107883063859026,10.005799772577596
2020-12-11-01,14.045366555837663,13.519258368171933,14.941057640757512,15.50547452185689,15.196616541994281,15.120083855245518,15.152707800745103
2020-12-11-02,17.228026730863217,19.90413442876068,19.648021189392118,21.172972980871524,20.338494875279093,20.131717470717895,20.219861439831316
2020-12-11-03,13.788522541116643,11.661415113286077,12.843975578837533,12.248772322405461,12.574477101169665,12.655184298104727,12.6207808646688
2020-12-11-04,7.387592107106611,10.748415848443358,7.5015891542782285,7.573424030054514,7.534114832617453,7.52437430884943,7.528526447367559
2020-12-11-05,8.18272199335026,7.034961582043739,8.236463458445451,8.270328471311414,8.251796992519656,8.247205031314731,8.249162468044707
2020-12-11-06,10.602404147715822,12.610793078098023,11.367812893010965,11.850132773223159,11.586199590431475,11.520798930846171,11.54867757518218
2020-12-11-07,8.918014863502634,10.943933319944502,9.77624977578038,10.317063769124692,10.021121668419974,9.947789439480706,9.979049110895764
2020-12-11-08,16.495059945735925,13.064008151217614,15.464200933455444,14.814608413935616,15.170075870759309,15.25815803569016,15.220610840233363
2020-12-11-09,15.03316036228443,17.404296786128192,16.513493446270143,17.446320618850752,16.935862612132365,16.809374953487595,16.863293437958724
2020-12-11-10,14.562574621979682,13.422518206658426,14.433920811600284,14.352850023224192,14.39721326033173,14.408206137155647,14.403520152256615
2020-12-11-11,13.192663920203119,13.182013763470977,13.837561501345409,14.243941655736961,14.021563910235884,13.966460375776775,13.989949616536475
2020-12-11-12,9.385389658730944,9.972787465844664,9.204622912501666,9.0907133237707,9.153046479706608,9.168492167395906,9.161908062031443
2020-12-11-13,13.144024600964308,13.35812721353278,11.715804452828475,10.815816080602742,11.308304168492755,11.430339016272148,11.378318652266445
2020-12-11-14,24.929212560355094,21.804696332136317,22.84958071409574,21.539107337434096,22.25621941067873,22.433914394275412,22.358167524451826
2020-12-11-15,10.532748841421105,9.758813389812074,8.63062668290041,7.432010469947549,8.087912507183052,8.250440103769519,8.181158706781309
2020-12-11-16,12.152834394466977,10.95321507311959,11.903669419934728,11.746658905737995,11.832577580136135,11.853867582086249,11.844792193610907
2020-12-11-17,18.829360563553557,21.694767154130613,21.132100916420224,22.58316540710117,21.78911961887257,21.59236103875848,21.676234236824687
2020-12-11-18,17.8560372173604,15.343717511667629,17.813695456982373,17.787013931694034,17.801614490742086,17.80523239957021,17.80369017669205
2020-12-11-19,6.265839263197813,7.848556825447117,4.873446758458776,3.9960350614770164,4.476168830172526,4.595142370481968,4.544426964296249
2020-12-11-20,14.408608094162517,16.202347163748456,15.117018315871851,15.563420758195903,15.31914217412275,15.258611776421457,15.2844143514984
2020-12-11-21,8.019883853705716,11.475327052866835,9.202196085799915,9.947226368851094,9.53953383543245,9.438510688924085,9.481574296983535
2020-12-11-22,4.998929684974519,4.693281218850238,4.116266834017143,3.5600596530064825,3.864425153161999,3.939844637194417,3.9076952218111893
2020-12-11-23,10.294594728730909,12.768202044805893,9.793007721175792,9.476934267760141,9.649894736483201,9.692753041062511,9.674483631582742
2020-12-12-00,17.59145372416219,15.329777510820069,15.412481593938997,14.039409254100875,14.790776485112092,14.976959639420905,14.897594477460093
2020-12-12-01,25.960170474263858,24.5727928109356,25.066107918589317,24.50271725000103,24.811013669900255,24.88740720630948,24.854842577074436
2020-12-12-02,18.02961395309833,11.299073027493119,13.625434729546846,10.850155235297944,12.368832735655902,12.745149609382118,12.584735259637409
2020-12-12-03,20.44088359639559,15.432653393300539,17.33527832559168,15.378291066943472,16.449185917121646,16.71454561463054,16.601429498143798
2020-12-12-04,8.433020481268983,8.34814658925712,7.9721467048465895,7.681728564208183,7.840650033846579,7.880029579937307,7.863243077071155
